DATE,DAY,SEASON,TEST SITE,HABITAT,SAMPLE TYPE,CLASS,ORDER,SUBORDER,SUPERFAMILY,FAMILY,SUBFAMILY,TRIBE,SUBTRIBE,GENUS ,SPECIES,STAGE COLL.,# COLLECTED,# FEMALE,# MALE,# UNKNOWN,NOTES,,Total
2-Aug-15,3,Summer,Urban East 3,,Wasp,Lucilia,sericata,,Adult,2,2,0,,Lucilia,sericata,Adult,24,24,0,0,,,
2-Aug-15,3,Summer,Urban East 3,,Wasp,,,,,,,,,Lucilia,coeruliviridis,Adult,0,0,0,0,,,
2-Aug-15,3,Summer,Urban East 3,,Wasp,Lucilia,sericata,,Adult,2,2,0,,Phormia,regina,Adult,96,80,16,0,,,
2-Aug-15,3,Summer,Urban East 3,,Wasp,,,,,,,,,Calliphora,vicina,Adult,0,0,0,0,,,
2-Aug-15,3,Summer,Urban East 3,,Wasp,,,,,,,,,Protophormia ,terranovae,Adult,0,0,0,0,,,
2-Aug-15,3,Summer,Urban East 3,,Wasp,,,,,,,,,Cochliomyia,macellaria,Adult,0,0,0,0,,,
2-Aug-15,3,Summer,Park Mid 3,,Wasp,Lucilia,sericata,,Adult,8,8,0,,Lucilia,sericata,Adult,2,2,0,0,,,
2-Aug-15,3,Summer,Park Mid 3,,Wasp,Lucilia,coeruliviridis,,Adult,41,40,1,,Lucilia,coeruliviridis,Adult,1,1,0,0,,,
2-Aug-15,3,Summer,Park Mid 3,,Wasp,Lucilia,sericata,,Adult,20,19,1,,Phormia,regina,Adult,0,0,0,0,,,
2-Aug-15,3,Summer,Park Mid 3,,Wasp,,,,,,,,,Calliphora,vicina,Adult,0,0,0,0,,,
2-Aug-15,3,Summer,Park Mid 3,,Wasp,,,,,,,,,Protophormia ,terranovae,Adult,0,0,0,0,,,
2-Aug-15,3,Summer,Park Mid 3,,Wasp,,,,,,,,,Cochliomyia,macellaria,Adult,0,0,0,0,,,
2-Aug-15,3,Summer,Urban West 3,,Wasp,Lucilia,sericata,,Adult,30,22,8,,Lucilia,sericata,Adult,24,18,6,0,,,
